,customer_id,gender,first_name,last_name,email,birthdate,creation_date,last_purchase_date,city
0,1715,Female,Karen,Morales,Karen.Morales@collins.biz,1985-04-25,2021-08-17,,South Shannon
1,13344,Female,Katie,Wilson,Katie.Wilson@dawson-bradley.biz,1982-02-15,2021-09-30,,South Shannon
2,1250,Female,Kara,Butler,Kara.Butler@frank.info,1958-02-18,2022-02-22,,New Annton
3,18426,Female,Cassie,Marshall,Cassie.Marshall@evans-watkins.com,1968-07-18,2021-05-31,,North Ericchester
4,1700,Male,John,Cline,John.Cline@rodriguez-bell.biz,1974-03-08,2022-10-15,,Carriehaven
5,11049,Female,Cindy,Trujillo,Cindy.Trujillo@mccormick-jones.com,1958-05-19,2021-05-13,,Wisemouth
6,8033,Male,Robert,Dixon,Robert.Dixon@ortega.com,1997-04-24,2021-12-20,,Riceville
7,14295,Male,Michael,Bowers,Michael.Bowers@morgan.com,1984-03-18,2021-09-28,,Thomasborough
8,19582,Female,Laura,Morris,Laura.Morris@robbins-castillo.com,1985-09-23,2022-03-21,,South Shannon
9,216,Female,Megan,Baker,Megan.Baker@martinez-stevenson.org,1989-09-22,2021-08-03,,Wisemouth
10,14690,Male,Anthony,Jordan,Anthony.Jordan@thompson.com,1963-10-25,2022-02-15,,Thomasborough
11,1438,Male,Eric,Velazquez,Eric.Velazquez@watson.com,1967-12-22,2022-10-23,,Lisamouth
12,4658,Male,Nicholas,Diaz,Nicholas.Diaz@rivera.info,1963-04-10,2023-02-04,,Henryfurt
13,695,Female,Natalie,Holland,Natalie.Holland@king.info,1985-10-09,2021-04-28,,Thomasborough
14,14111,Female,Mary,Jackson,Mary.Jackson@watkins.com,1967-02-16,2021-08-20,,Allisonville
15,15377,Male,Donald,Mason,Donald.Mason@mendez.net,1975-09-27,2023-02-13,,Henryfurt
16,9997,Female,Carla,Ross,Carla.Ross@gray-oneal.info,1987-12-15,2021-07-27,,New Annton
17,15825,Male,Michael,Johnson,Michael.Johnson@molina.com,1979-08-12,2022-11-29,,Port Pamelafort
18,19952,Female,Jessica,Ramos,Jessica.Ramos@schwartz-smith.com,1991-06-01,2022-09-06,,Riceville
19,13049,Female,Erin,Crane,Erin.Crane@kidd.biz,1982-11-11,2022-10-29,,Lisamouth
20,17646,Female,Patricia,Cunningham,Patricia.Cunningham@hamilton.com,1990-02-23,2022-11-22,,New Annton
21,13746,Female,Pamela,Carter,Pamela.Carter@medina-potter.com,1963-03-16,2021-06-21,,New Annton
22,1043,Male,Benjamin,Coleman,Benjamin.Coleman@olsen.com,1979-04-03,2022-10-11,,Wisemouth
23,2706,Female,Alisha,Reed,Alisha.Reed@sanchez.org,1970-10-02,2021-06-19,,Lisamouth
24,8581,Male,Anthony,Smith,Anthony.Smith@williams.org,2001-09-28,2021-07-05,,North Ericchester
25,11040,Female,Brandy,Garcia,Brandy.Garcia@neal.com,1963-09-21,2022-03-26,,Thomasborough
26,2401,Female,Ashley,Jackson,Ashley.Jackson@valdez-huff.com,1967-09-13,2021-06-07,,South Josephland
27,18781,Female,Christy,Johnson,Christy.Johnson@mcdonald.org,1960-11-20,2021-08-20,,Riceville
28,6195,Male,Darren,Hernandez,Darren.Hernandez@snow-adams.com,1963-11-27,2021-04-28,,Port Pamelafort
29,11911,Male,Matthew,Watkins,Matthew.Watkins@cummings-wilson.com,1960-03-26,2021-06-14,,Thomasborough
30,11531,Male,Charles,Holmes,Charles.Holmes@nunez.com,1999-08-07,2021-06-03,,South Josephland
31,17432,Male,Jonathan,Miller,Jonathan.Miller@wade-green.com,2001-02-06,2022-06-05,,Lisamouth
32,9427,Female,Alyssa,Williams,Alyssa.Williams@bernard.com,1994-05-11,2021-11-09,,Henryfurt
33,7647,Female,Amanda,Mcgee,Amanda.Mcgee@pearson-oliver.com,1993-08-08,2022-03-09,,Carriehaven
34,5038,Female,Danielle,Carey,Danielle.Carey@mathis.biz,2003-06-26,2022-07-12,,South Josephland
35,15115,Male,Kenneth,Barrett,Kenneth.Barrett@young-riddle.info,1972-02-16,2022-01-25,,Riceville
36,4414,Female,Heather,Cunningham,Heather.Cunningham@lee.com,1970-10-11,2022-10-29,,Port Amyborough
37,688,Female,Kimberly,Atkins,Kimberly.Atkins@potter-ball.info,1978-10-08,2021-10-28,,Henryfurt
38,11535,Female,Jenny,Parker,Jenny.Parker@arnold.net,1976-07-17,2021-08-14,,South Josephland
39,13774,Male,Sean,Stone,Sean.Stone@acevedo-lopez.com,1982-06-18,2021-07-08,,South Shannon
40,2051,Female,Barbara,Rose,Barbara.Rose@wilson.com,1981-03-18,2021-11-13,,Wisemouth
41,2909,Male,Vernon,Nichols,Vernon.Nichols@jenkins-ward.com,1992-12-31,2021-04-16,,South Josephland
42,280,Female,Jessica,Lopez,Jessica.Lopez@taylor.com,1988-06-22,2022-11-01,,South Shannon
43,17910,Female,Becky,Marks,Becky.Marks@madden.com,1958-09-27,2021-09-25,,Riceville
44,10566,Female,Julie,Mcfarland,Julie.Mcfarland@odom.org,1999-08-07,2022-08-24,,New Robert
45,1082,Female,Anna,Garrison,Anna.Garrison@paul.info,1957-08-29,2021-08-13,,South Josephland
46,11415,Male,George,Davis,George.Davis@mendez.com,1978-03-25,2021-08-20,,Lisamouth
47,5369,Female,Brittany,Edwards,Brittany.Edwards@chandler-johnston.biz,1999-05-14,2022-08-01,,South Shannon
48,4718,Female,Jennifer,Ortiz,Jennifer.Ortiz@mejia-valdez.com,1960-01-21,2022-05-15,,Lisamouth
49,7699,Male,Jordan,Martinez,Jordan.Martinez@kelley.biz,1967-03-07,2022-08-21,,Port Pamelafort
50,1872,Female,Gina,Park,Gina.Park@williams.org,1997-03-11,2023-02-16,,New Annton
51,10032,Male,James,Caldwell,James.Caldwell@jenkins.com,1992-07-27,2021-12-18,,Thomasborough
52,9541,Female,Jasmine,Spears,Jasmine.Spears@terrell.org,1969-02-20,2023-02-07,,North Ericchester
53,4144,Female,Kimberly,Gomez,Kimberly.Gomez@snyder.com,1968-10-08,2021-10-23,,New Annton
54,3917,Male,Timothy,Scott,Timothy.Scott@hatfield.net,2002-10-24,2021-05-24,,Henryfurt
55,19310,Female,Denise,Green,Denise.Green@roth.com,1961-12-04,2022-07-16,,South Josephland
56,2033,Male,Richard,Fields,Richard.Fields@king.com,1967-06-06,2023-01-24,,New Robert
57,675,Female,Sabrina,Douglas,Sabrina.Douglas@hodges-hess.com,1987-09-02,2021-04-07,,New Robert
58,14783,Female,Jennifer,Ross,Jennifer.Ross@zavala.com,1962-11-12,2022-12-19,,South Josephland
59,925,Male,Mark,Gates,Mark.Gates@morris.com,1964-05-10,2021-10-31,,New Annton
60,10644,Male,Scott,Tran,Scott.Tran@cobb.info,1998-01-03,2021-06-09,,North Ericchester
61,16388,Male,Christopher,Summers,Christopher.Summers@kennedy-baldwin.com,1989-02-17,2022-07-25,,New Annton
62,12091,Male,Joseph,Jones,Joseph.Jones@johnson.org,1982-08-23,2021-05-23,,Thomasborough
63,18683,Female,Alicia,Hammond,Alicia.Hammond@moore-schmitt.info,1995-05-21,2023-01-28,,South Shannon
64,8904,Male,Evan,Blevins,Evan.Blevins@martin.net,1965-01-09,2021-05-17,,Port Amyborough
65,10553,Female,Ashley,Gonzalez,Ashley.Gonzalez@stanley.org,2002-12-02,2022-06-12,,South Josephland
66,1409,Male,Joshua,Lee,Joshua.Lee@thomas-clark.com,1987-09-16,2022-08-27,,Port Amyborough
67,16552,Male,Gregory,Ross,Gregory.Ross@yates.info,1979-04-06,2022-06-15,,Henryfurt
68,562,Male,Phillip,Schmidt,Phillip.Schmidt@wright.com,1976-02-27,2022-11-04,,Allisonville
69,18501,Male,Terrance,Bryan,Terrance.Bryan@bauer.net,1965-06-19,2021-09-15,,South Shannon
70,19664,Female,Amanda,Norris,Amanda.Norris@floyd-patel.com,1997-06-05,2022-02-09,,South Shannon
71,11178,Male,Justin,Gibson,Justin.Gibson@fields-frank.biz,1976-06-20,2021-09-19,,Thomasborough
72,17504,Male,Jacob,Lucero,Jacob.Lucero@phillips.info,1982-12-11,2021-04-14,,Henryfurt
73,15858,Female,Donna,Scott,Donna.Scott@thomas.com,1994-10-09,2022-01-12,,Wisemouth
74,13053,Male,Clayton,Taylor,Clayton.Taylor@oconnell.com,1983-08-30,2021-06-21,,Allisonville
75,18938,Female,Ashley,Anderson,Ashley.Anderson@jackson.com,1983-09-05,2022-12-10,,North Ericchester
76,12970,Male,Joseph,Soto,Joseph.Soto@vega.com,2004-12-07,2022-06-17,,Port Pamelafort
77,16425,Male,Henry,Collins,Henry.Collins@castaneda.biz,1968-05-25,2021-12-04,,South Anita
78,195,Female,Lori,Hanna,Lori.Hanna@dudley-allen.com,1988-08-05,2023-01-05,,North Ericchester
79,19156,Male,Brandon,Franklin,Brandon.Franklin@anderson.com,1979-12-01,2022-08-18,,Wisemouth
80,1718,Female,Christine,Allen,Christine.Allen@hernandez.net,1984-02-29,2022-12-05,,Port Pamelafort
81,15098,Female,Erika,Brown,Erika.Brown@snyder-campbell.com,1977-08-19,2022-07-23,,Lisamouth
82,13787,Female,Jamie,Davis,Jamie.Davis@myers.biz,1985-07-29,2023-01-24,,North Ericchester
83,7097,Female,Sarah,Greene,Sarah.Greene@collins.com,1958-09-19,2021-08-11,,North Ericchester
84,6306,Male,Michael,Allen,Michael.Allen@anderson.com,1997-09-13,2021-07-31,,South Josephland
85,2046,Female,Lauren,Owens,Lauren.Owens@mahoney-hill.com,1997-10-01,2022-04-04,,South Josephland
86,16399,Female,Ashley,Friedman,Ashley.Friedman@rowland.com,1967-07-09,2021-06-27,,Port Pamelafort
87,5730,Female,Mia,Murphy,Mia.Murphy@kirk-rojas.com,1992-04-02,2022-07-17,,North Ericchester
